,review_number,revision_number,status,author,url,start_date,start_time,close_date,close_time
20828,60944,3,ApproveAfterChange,Meghan Vazquez,http://review.couchbase.org/#/c/60944/3,2016-03-04,21:08:58.789000000,2016-03-04,23:06:51.646000000
20832,60945,4,ApproveAfterChange,Meghan Vazquez,http://review.couchbase.org/#/c/60945/4,2016-03-04,21:08:58.789000000,2016-03-05,00:02:29.317000000
20834,60948,2,DirectlyApprove,Meghan Vazquez,http://review.couchbase.org/#/c/60948/2,2016-03-04,21:44:23.585000000,2016-03-04,23:43:16.117000000
20836,60957,2,DirectlyApprove,Meghan Vazquez,http://review.couchbase.org/#/c/60957/2,2016-03-04,23:47:32.097000000,2016-03-05,00:03:54.912000000
20838,60983,2,DirectlyApprove,Kyle Spencer,http://review.couchbase.org/#/c/60983/2,2016-03-05,14:35:11.189000000,2016-03-05,17:03:16.198000000
20844,61012,6,ApproveAfterChange,Shaniya Barton,http://review.couchbase.org/#/c/61012/6,2016-03-07,12:58:39.975000000,2016-03-09,18:04:15.535000000
20846,61013,2,DirectlyApprove,Joyce Webster,http://review.couchbase.org/#/c/61013/2,2016-03-07,13:17:42.275000000,2016-03-07,19:30:23.838000000
20848,61025,2,DirectlyApprove,Meghan Vazquez,http://review.couchbase.org/#/c/61025/2,2016-03-07,18:45:19.193000000,2016-03-07,20:47:45.144000000
20849,61032,1,DirectlyApprove,Meghan Vazquez,http://review.couchbase.org/#/c/61032/1,2016-03-07,21:20:06.136000000,2016-03-08,00:12:24.770000000
20851,61033,2,DirectlyApprove,Meghan Vazquez,http://review.couchbase.org/#/c/61033/2,2016-03-07,21:20:06.136000000,2016-03-08,00:13:47.068000000
20853,61034,2,DirectlyApprove,Meghan Vazquez,http://review.couchbase.org/#/c/61034/2,2016-03-07,21:20:06.136000000,2016-03-08,00:14:18.489000000
20855,61035,2,DirectlyApprove,Kyle Spencer,http://review.couchbase.org/#/c/61035/2,2016-03-07,21:32:31.134000000,2016-03-08,00:20:40.707000000
