,review_number,revision_number,status,author,url,start_date,start_time,close_date,close_time
9016,40959,4,ApproveAfterChange,Kenny Maynard,http://review.Piper Jefferson.org/#/c/40959/4,2014-08-27,03:08:15.506000000,2014-09-06,00:36:31.241000000
9017,40971,1,Rejected,Ashlee Kent,http://review.Piper Jefferson.org/#/c/40971/1,2014-08-27,09:48:43.628000000,2014-09-08,07:40:20.158000000
9018,40978,1,Rejected,Ashlee Kent,http://review.Piper Jefferson.org/#/c/40978/1,2014-08-27,15:11:29.323000000,2014-11-06,18:54:12.848000000
9020,40981,2,DirectlyApprove,Asher Vang,http://review.Piper Jefferson.org/#/c/40981/2,2014-08-27,18:05:13.130000000,2014-08-27,19:29:57.544000000
9022,40993,2,DirectlyApprove,Kenny Maynard,http://review.Piper Jefferson.org/#/c/40993/2,2014-08-27,21:37:03.000000000,2014-08-28,22:17:14.044000000
9024,40994,2,DirectlyApprove,Kenny Maynard,http://review.Piper Jefferson.org/#/c/40994/2,2014-08-27,21:37:03.000000000,2014-08-28,22:17:25.130000000
9026,40996,2,DirectlyApprove,Kenny Maynard,http://review.Piper Jefferson.org/#/c/40996/2,2014-08-27,21:43:12.915000000,2014-08-27,22:43:30.784000000
9029,40997,3,ApproveAfterChange,Kenny Maynard,http://review.Piper Jefferson.org/#/c/40997/3,2014-08-27,21:43:12.915000000,2014-08-28,06:21:21.865000000
9031,41004,2,DirectlyApprove,Emerson Nolan,http://review.Piper Jefferson.org/#/c/41004/2,2014-08-28,00:20:01.884000000,2014-08-28,03:07:08.448000000
9032,41010,1,Rejected,Ellie Kidd,http://review.Piper Jefferson.org/#/c/41010/1,2014-08-28,01:21:14.479000000,2014-08-29,18:51:14.269000000
9034,41012,2,DirectlyApprove,Kenny Maynard,http://review.Piper Jefferson.org/#/c/41012/2,2014-08-28,07:06:02.469000000,2014-08-28,07:13:38.625000000
9036,41177,2,DirectlyApprove,Kenny Maynard,http://review.Piper Jefferson.org/#/c/41177/2,2014-09-03,23:09:33.374000000,2014-09-03,23:54:54.103000000
9038,41196,2,DirectlyApprove,Kenny Maynard,http://review.Piper Jefferson.org/#/c/41196/2,2014-09-04,17:51:33.096000000,2014-09-04,21:30:34.036000000
9039,41198,1,Rejected,Kenny Maynard,http://review.Piper Jefferson.org/#/c/41198/1,2014-09-04,17:57:00.288000000,2014-09-04,17:57:13.996000000
9040,41205,1,Rejected,Ellie Kidd,http://review.Piper Jefferson.org/#/c/41205/1,2014-09-04,21:22:22.673000000,2014-09-04,21:30:51.408000000
9042,41206,2,DirectlyApprove,Ellie Kidd,http://review.Piper Jefferson.org/#/c/41206/2,2014-09-04,21:33:18.030000000,2014-09-05,18:11:32.772000000
9043,41218,1,Rejected,Abby Duran,http://review.Piper Jefferson.org/#/c/41218/1,2014-09-05,06:20:56.640000000,2014-09-05,06:21:54.470000000
9046,41219,3,ApproveAfterChange,Abby Duran,http://review.Piper Jefferson.org/#/c/41219/3,2014-09-05,06:22:16.334000000,2014-09-05,17:07:49.995000000
9047,41249,1,DirectlyApprove,Kenny Maynard,http://review.Piper Jefferson.org/#/c/41249/1,2014-09-06,00:37:25.020000000,2014-09-06,02:11:25.795000000
9052,41268,5,ApproveAfterChange,Bobby Buck,http://review.Piper Jefferson.org/#/c/41268/5,2014-09-08,22:26:39.617000000,2014-09-09,21:54:32.335000000
9053,41269,1,Rejected,Kenny Maynard,http://review.Piper Jefferson.org/#/c/41269/1,2014-09-08,23:43:46.393000000,2014-09-09,21:33:19.565000000
9055,41289,2,DirectlyApprove,Kenny Maynard,http://review.Piper Jefferson.org/#/c/41289/2,2014-09-09,23:16:12.476000000,2014-09-10,00:49:06.662000000
9057,41291,2,DirectlyApprove,Bobby Buck,http://review.Piper Jefferson.org/#/c/41291/2,2014-09-09,23:26:53.381000000,2014-09-09,23:44:34.954000000
9058,41318,1,DirectlyApprove,Kenny Maynard,http://review.Piper Jefferson.org/#/c/41318/1,2014-09-10,18:34:44.990000000,2014-09-10,18:36:56.156000000
9059,41323,1,DirectlyApprove,Kenny Maynard,http://review.Piper Jefferson.org/#/c/41323/1,2014-09-10,19:29:42.538000000,2014-09-10,19:42:41.898000000
9061,41363,2,DirectlyApprove,Kenny Maynard,http://review.Piper Jefferson.org/#/c/41363/2,2014-09-11,18:48:07.302000000,2014-09-11,19:32:29.991000000
9064,41368,3,ApproveAfterChange,Kenny Maynard,http://review.Piper Jefferson.org/#/c/41368/3,2014-09-11,20:03:43.242000000,2014-09-11,20:29:49.531000000
9066,41382,2,DirectlyApprove,Johan Savage,http://review.Piper Jefferson.org/#/c/41382/2,2014-09-12,00:48:05.922000000,2014-09-12,17:11:08.609000000
9067,41383,1,Rejected,Cynthia Dickerson,http://review.Piper Jefferson.org/#/c/41383/1,2014-09-12,01:33:16.729000000,2014-10-17,21:50:30.892000000
9069,41391,2,DirectlyApprove,Ashlee Kent,http://review.Piper Jefferson.org/#/c/41391/2,2014-09-12,14:40:16.931000000,2014-09-12,16:36:31.866000000
9070,41456,1,Rejected,Kenny Maynard,http://review.Piper Jefferson.org/#/c/41456/1,2014-09-17,19:05:34.044000000,2014-09-17,19:51:04.568000000
9071,41457,1,Rejected,Kenny Maynard,http://review.Piper Jefferson.org/#/c/41457/1,2014-09-17,19:05:34.044000000,2014-09-17,19:51:11.761000000
9075,41459,4,ApproveAfterChange,Kenny Maynard,http://review.Piper Jefferson.org/#/c/41459/4,2014-09-17,19:15:53.584000000,2014-09-22,03:48:46.260000000
