,review_number,revision_number,status,author,url,start_date,start_time,close_date,close_time
1745,56056,2,DirectlyApprove,Marlie Beasley,http://review.couchbase.org/#/c/56056/2,2015-10-13,15:02:15.036000000,2015-10-13,15:03:47.306000000
1748,56152,3,ApproveAfterChange,Marlie Beasley,http://review.couchbase.org/#/c/56152/3,2015-10-15,12:02:19.896000000,2015-10-16,07:32:51.403000000
1754,56153,6,ApproveAfterChange,Marlie Beasley,http://review.couchbase.org/#/c/56153/6,2015-10-15,12:02:19.896000000,2015-10-16,08:31:10.557000000
1757,56189,3,ApproveAfterChange,Marlie Beasley,http://review.couchbase.org/#/c/56189/3,2015-10-16,10:16:33.840000000,2015-10-16,10:47:51.690000000
1759,56191,2,DirectlyApprove,Marlie Beasley,http://review.couchbase.org/#/c/56191/2,2015-10-16,12:10:09.906000000,2015-10-16,16:58:55.411000000
1761,56209,2,DirectlyApprove,Marlie Beasley,http://review.couchbase.org/#/c/56209/2,2015-10-19,05:09:09.049000000,2015-10-19,12:59:07.683000000
1763,56291,2,DirectlyApprove,Lucia Hendrix,http://review.couchbase.org/#/c/56291/2,2015-10-21,15:20:18.330000000,2015-10-22,16:52:30.618000000
1765,56603,2,DirectlyApprove,Lucia Hendrix,http://review.couchbase.org/#/c/56603/2,2015-11-02,17:32:59.379000000,2015-11-02,17:35:53.444000000
1767,56625,2,DirectlyApprove,Marlie Beasley,http://review.couchbase.org/#/c/56625/2,2015-11-03,08:29:08.020000000,2015-11-03,15:29:30.234000000
1770,56629,3,ApproveAfterChange,Marlie Beasley,http://review.couchbase.org/#/c/56629/3,2015-11-03,13:15:50.527000000,2015-11-03,17:38:51.542000000
1772,56630,2,DirectlyApprove,Marlie Beasley,http://review.couchbase.org/#/c/56630/2,2015-11-03,13:25:30.838000000,2015-11-03,15:29:18.404000000
1774,56642,2,DirectlyApprove,Lucia Hendrix,http://review.couchbase.org/#/c/56642/2,2015-11-03,17:15:57.944000000,2015-11-03,17:56:28.384000000
1776,56689,2,DirectlyApprove,Sophia Gaines,http://review.couchbase.org/#/c/56689/2,2015-11-05,05:40:46.970000000,2015-11-05,07:15:54.900000000
1778,56698,2,DirectlyApprove,Marlie Beasley,http://review.couchbase.org/#/c/56698/2,2015-11-05,10:24:49.845000000,2015-11-05,11:04:49.914000000
1782,56738,4,ApproveAfterChange,Marlie Beasley,http://review.couchbase.org/#/c/56738/4,2015-11-06,09:36:34.018000000,2015-11-06,17:18:54.988000000
1785,56973,3,ApproveAfterChange,Marlie Beasley,http://review.couchbase.org/#/c/56973/3,2015-11-12,11:49:03.781000000,2015-11-12,12:03:03.028000000
1787,56974,2,DirectlyApprove,Marlie Beasley,http://review.couchbase.org/#/c/56974/2,2015-11-12,11:54:09.418000000,2015-11-12,12:03:00.291000000
1789,57103,2,DirectlyApprove,Marlie Beasley,http://review.couchbase.org/#/c/57103/2,2015-11-17,09:10:52.756000000,2015-11-23,17:02:41.174000000
1791,57106,2,DirectlyApprove,Marlie Beasley,http://review.couchbase.org/#/c/57106/2,2015-11-17,09:34:09.808000000,2015-11-23,17:02:56.541000000
1797,57375,6,ApproveAfterChange,Lucia Hendrix,http://review.couchbase.org/#/c/57375/6,2015-12-01,17:25:32.907000000,2015-12-03,08:12:12.919000000
1799,57404,2,DirectlyApprove,Lucia Hendrix,http://review.couchbase.org/#/c/57404/2,2015-12-02,11:52:15.407000000,2015-12-02,11:55:13.816000000
1804,57424,5,ApproveAfterChange,Lucia Hendrix,http://review.couchbase.org/#/c/57424/5,2015-12-02,20:27:21.645000000,2015-12-07,13:31:12.917000000
