,review_number,revision_number,status,author,url,start_date,start_time,close_date,close_time
5377,58276,3,ApproveAfterChange,Maliyah Fischer,http://review.couchbase.org/#/c/58276/3,2016-01-05,17:05:04.603000000,2016-01-12,11:53:30.614000000
5380,58277,3,ApproveAfterChange,Maliyah Fischer,http://review.couchbase.org/#/c/58277/3,2016-01-05,17:05:04.603000000,2016-01-12,11:53:37.096000000
5382,58278,2,DirectlyApprove,Dominique Stanton,http://review.couchbase.org/#/c/58278/2,2016-01-05,17:53:14.199000000,2016-01-12,11:52:13.738000000
5385,58302,3,ApproveAfterChange,Kinsley Fox,http://review.couchbase.org/#/c/58302/3,2016-01-06,03:28:15.306000000,2016-01-06,12:30:40.204000000
5387,58306,2,DirectlyApprove,Kinsley Fox,http://review.couchbase.org/#/c/58306/2,2016-01-06,10:56:15.197000000,2016-01-06,12:31:27.648000000
5396,58307,9,ApproveAfterChange,Leonel Abbott,http://review.couchbase.org/#/c/58307/9,2016-01-06,11:25:36.263000000,2016-01-14,10:00:53.999000000
5398,58309,2,DirectlyApprove,Leonel Abbott,http://review.couchbase.org/#/c/58309/2,2016-01-06,11:33:13.730000000,2016-01-06,12:11:13.711000000
5403,58310,5,ApproveAfterChange,Leonel Abbott,http://review.couchbase.org/#/c/58310/5,2016-01-06,11:33:13.730000000,2016-01-14,10:00:11.925000000
5406,58311,3,ApproveAfterChange,Maliyah Fischer,http://review.couchbase.org/#/c/58311/3,2016-01-06,12:28:32.927000000,2016-01-12,11:55:24.916000000
5408,58328,2,DirectlyApprove,Kinsley Fox,http://review.couchbase.org/#/c/58328/2,2016-01-07,02:25:54.563000000,2016-01-08,09:54:53.350000000
5409,58376,1,DirectlyApprove,Kinsley Fox,http://review.couchbase.org/#/c/58376/1,2016-01-08,08:44:16.400000000,2016-01-08,09:54:53.329000000
5412,58456,3,Rejected,Kinsley Fox,http://review.couchbase.org/#/c/58456/3,2016-01-11,18:31:08.084000000,2016-02-22,10:29:11.758000000
5414,58509,2,DirectlyApprove,Maliyah Fischer,http://review.couchbase.org/#/c/58509/2,2016-01-12,04:48:38.104000000,2016-01-12,11:53:42.461000000
5416,58510,2,DirectlyApprove,Maliyah Fischer,http://review.couchbase.org/#/c/58510/2,2016-01-12,04:48:38.104000000,2016-01-12,11:53:47.357000000
5418,58511,2,DirectlyApprove,Maliyah Fischer,http://review.couchbase.org/#/c/58511/2,2016-01-12,04:48:38.104000000,2016-01-12,11:53:53.041000000
5423,58512,5,ApproveAfterChange,Kinsley Fox,http://review.couchbase.org/#/c/58512/5,2016-01-12,06:36:14.257000000,2016-01-12,12:41:20.525000000
5424,58520,1,DirectlyApprove,Maliyah Fischer,http://review.couchbase.org/#/c/58520/1,2016-01-12,10:41:15.510000000,2016-01-12,11:53:59.659000000
5425,58522,1,DirectlyApprove,Maliyah Fischer,http://review.couchbase.org/#/c/58522/1,2016-01-12,11:01:17.949000000,2016-01-12,11:54:04.072000000
5428,58529,3,ApproveAfterChange,Kinsley Fox,http://review.couchbase.org/#/c/58529/3,2016-01-12,12:22:37.261000000,2016-01-13,10:01:11.545000000
