review_number,revision_number,status,author,url,close_date,close_time
51168,1,DirectlyApprove,Meghan Vazquez,http://review.couchbase.org/#/c/51168/1,2015-05-18,20:24:25.743000000
51185,1,Rejected,Philip Lara,http://review.couchbase.org/#/c/51185/1,2015-05-20,18:17:52.772000000
51186,1,Rejected,Philip Lara,http://review.couchbase.org/#/c/51186/1,2015-05-20,18:17:38.264000000
51187,1,Rejected,Philip Lara,http://review.couchbase.org/#/c/51187/1,2015-05-20,18:17:46.550000000
51235,3,ApproveAfterChange,Shaniya Barton,http://review.couchbase.org/#/c/51235/3,2015-05-21,05:02:58.787000000
51238,1,Rejected,Philip Lara,http://review.couchbase.org/#/c/51238/1,2015-05-19,20:15:32.453000000
51239,1,Rejected,Philip Lara,http://review.couchbase.org/#/c/51239/1,2015-05-19,20:15:40.814000000
51240,1,Rejected,Philip Lara,http://review.couchbase.org/#/c/51240/1,2015-05-19,20:15:47.731000000
51243,3,ApproveAfterChange,Philip Lara,http://review.couchbase.org/#/c/51243/3,2015-05-20,18:12:39.838000000
51244,3,ApproveAfterChange,Philip Lara,http://review.couchbase.org/#/c/51244/3,2015-05-20,18:12:40.555000000
51245,3,ApproveAfterChange,Philip Lara,http://review.couchbase.org/#/c/51245/3,2015-05-20,18:12:41.256000000
51246,3,ApproveAfterChange,Shaniya Barton,http://review.couchbase.org/#/c/51246/3,2015-05-21,05:03:04.385000000
51247,3,ApproveAfterChange,Shaniya Barton,http://review.couchbase.org/#/c/51247/3,2015-05-21,05:03:10.025000000
51248,4,ApproveAfterChange,Shaniya Barton,http://review.couchbase.org/#/c/51248/4,2015-05-21,05:03:17.440000000
51249,2,DirectlyApprove,Philip Lara,http://review.couchbase.org/#/c/51249/2,2015-06-06,00:32:37.935000000
51253,3,ApproveAfterChange,Meghan Vazquez,http://review.couchbase.org/#/c/51253/3,2015-05-20,02:23:43.109000000
51254,4,ApproveAfterChange,Meghan Vazquez,http://review.couchbase.org/#/c/51254/4,2015-05-20,02:23:44.745000000
51255,2,DirectlyApprove,Meghan Vazquez,http://review.couchbase.org/#/c/51255/2,2015-05-19,22:56:15.475000000
51262,3,ApproveAfterChange,Meghan Vazquez,http://review.couchbase.org/#/c/51262/3,2015-05-20,02:23:44.752000000
51264,1,DirectlyApprove,Meghan Vazquez,http://review.couchbase.org/#/c/51264/1,2015-05-20,02:28:54.185000000
51266,2,DirectlyApprove,Meghan Vazquez,http://review.couchbase.org/#/c/51266/2,2015-05-20,03:22:31.164000000
51267,1,DirectlyApprove,Meghan Vazquez,http://review.couchbase.org/#/c/51267/1,2015-05-20,03:23:36.244000000
51286,5,ApproveAfterChange,Shaniya Barton,http://review.couchbase.org/#/c/51286/5,2015-05-28,05:36:41.035000000
51290,10,ApproveAfterChange,Shaniya Barton,http://review.couchbase.org/#/c/51290/10,2015-06-03,20:27:04.390000000
51293,1,DirectlyApprove,Meghan Vazquez,http://review.couchbase.org/#/c/51293/1,2015-05-20,18:16:09.259000000
51304,2,DirectlyApprove,Philip Lara,http://review.couchbase.org/#/c/51304/2,2015-05-21,17:04:43.678000000
51305,3,ApproveAfterChange,Philip Lara,http://review.couchbase.org/#/c/51305/3,2015-05-28,01:01:44.718000000
51306,3,ApproveAfterChange,Philip Lara,http://review.couchbase.org/#/c/51306/3,2015-05-28,01:01:55.871000000
51307,3,ApproveAfterChange,Philip Lara,http://review.couchbase.org/#/c/51307/3,2015-05-28,01:02:10.643000000
51308,2,DirectlyApprove,Meghan Vazquez,http://review.couchbase.org/#/c/51308/2,2015-05-21,01:10:32.148000000
51309,2,DirectlyApprove,Meghan Vazquez,http://review.couchbase.org/#/c/51309/2,2015-05-21,01:11:22.870000000
51312,3,ApproveAfterChange,Philip Lara,http://review.couchbase.org/#/c/51312/3,2015-05-28,01:02:19.681000000
51313,3,ApproveAfterChange,Philip Lara,http://review.couchbase.org/#/c/51313/3,2015-05-28,01:02:27.532000000
51314,3,ApproveAfterChange,Philip Lara,http://review.couchbase.org/#/c/51314/3,2015-05-28,01:02:38.784000000
51334,2,DirectlyApprove,Meghan Vazquez,http://review.couchbase.org/#/c/51334/2,2015-05-21,16:57:33.478000000
51335,2,DirectlyApprove,Meghan Vazquez,http://review.couchbase.org/#/c/51335/2,2015-05-21,16:57:34.214000000
51336,1,DirectlyApprove,Meghan Vazquez,http://review.couchbase.org/#/c/51336/1,2015-05-21,16:58:28.151000000
51340,6,ApproveAfterChange,Shaniya Barton,http://review.couchbase.org/#/c/51340/6,2015-05-28,05:38:20.853000000
51349,1,Rejected,Philip Lara,http://review.couchbase.org/#/c/51349/1,2015-05-22,01:38:48.840000000
51350,2,DirectlyApprove,Philip Lara,http://review.couchbase.org/#/c/51350/2,2015-05-22,01:47:15.531000000
51364,3,ApproveAfterChange,Shaniya Barton,http://review.couchbase.org/#/c/51364/3,2015-06-18,12:59:47.791000000
51370,4,ApproveAfterChange,Philip Lara,http://review.couchbase.org/#/c/51370/4,2015-05-22,22:51:33.396000000
51401,2,DirectlyApprove,Philip Lara,http://review.couchbase.org/#/c/51401/2,2015-05-26,16:26:05.830000000
51404,5,ApproveAfterChange,Shaniya Barton,http://review.couchbase.org/#/c/51404/5,2015-05-28,05:38:38.001000000
51446,3,ApproveAfterChange,Justice Schneider,http://review.couchbase.org/#/c/51446/3,2015-05-27,01:17:31.747000000
51490,2,DirectlyApprove,Philip Lara,http://review.couchbase.org/#/c/51490/2,2015-05-28,16:30:31.937000000
51499,2,DirectlyApprove,Shaniya Barton,http://review.couchbase.org/#/c/51499/2,2015-05-28,07:05:50.324000000
51509,4,ApproveAfterChange,Shaniya Barton,http://review.couchbase.org/#/c/51509/4,2015-06-02,12:47:37.516000000
51528,1,Rejected,Meghan Vazquez,http://review.couchbase.org/#/c/51528/1,2015-06-06,00:19:34.353000000
51558,2,DirectlyApprove,Philip Lara,http://review.couchbase.org/#/c/51558/2,2015-06-05,23:41:24.365000000
51571,3,Rejected,Shaniya Barton,http://review.couchbase.org/#/c/51571/3,2015-06-04,04:09:48.315000000
