review_number,revision_number,status,author,url,close_date,close_time
45438,2,DirectlyApprove,Marlie Beasley,http://review.couchbase.org/#/c/45438/2,2015-01-16,11:58:01.343000000
45439,3,ApproveAfterChange,Lucia Hendrix,http://review.couchbase.org/#/c/45439/3,2015-01-16,11:07:23.462000000
45442,2,DirectlyApprove,Marlie Beasley,http://review.couchbase.org/#/c/45442/2,2015-01-16,11:45:38.962000000
45443,3,ApproveAfterChange,Lucia Hendrix,http://review.couchbase.org/#/c/45443/3,2015-01-16,12:33:22.379000000
45447,2,DirectlyApprove,Marlie Beasley,http://review.couchbase.org/#/c/45447/2,2015-01-16,12:33:05.786000000
45450,5,ApproveAfterChange,Lucia Hendrix,http://review.couchbase.org/#/c/45450/5,2015-01-16,14:46:55.198000000
45462,2,DirectlyApprove,Marlie Beasley,http://review.couchbase.org/#/c/45462/2,2015-01-16,14:54:32.003000000
45463,2,DirectlyApprove,Marlie Beasley,http://review.couchbase.org/#/c/45463/2,2015-01-16,15:49:36.084000000
45555,2,DirectlyApprove,Marlie Beasley,http://review.couchbase.org/#/c/45555/2,2015-01-19,10:52:17.960000000
45557,3,ApproveAfterChange,Marlie Beasley,http://review.couchbase.org/#/c/45557/3,2015-01-19,10:52:10.246000000
45569,2,DirectlyApprove,Marlie Beasley,http://review.couchbase.org/#/c/45569/2,2015-01-19,15:09:25.526000000
45572,2,DirectlyApprove,Marlie Beasley,http://review.couchbase.org/#/c/45572/2,2015-01-26,09:50:16.776000000
45796,2,DirectlyApprove,Lucia Hendrix,http://review.couchbase.org/#/c/45796/2,2015-01-26,14:11:59.745000000
45860,4,ApproveAfterChange,Lucia Hendrix,http://review.couchbase.org/#/c/45860/4,2015-01-26,13:15:42.006000000
45868,2,DirectlyApprove,Lucia Hendrix,http://review.couchbase.org/#/c/45868/2,2015-01-26,14:18:57.882000000
45874,3,ApproveAfterChange,Marlie Beasley,http://review.couchbase.org/#/c/45874/3,2015-01-26,17:29:02.791000000
45926,2,DirectlyApprove,Marlie Beasley,http://review.couchbase.org/#/c/45926/2,2015-01-27,15:07:54.100000000
45928,2,DirectlyApprove,Marlie Beasley,http://review.couchbase.org/#/c/45928/2,2015-01-27,15:10:48.073000000
45929,4,ApproveAfterChange,Lucia Hendrix,http://review.couchbase.org/#/c/45929/4,2015-01-27,15:15:09.149000000
45932,4,ApproveAfterChange,Lucia Hendrix,http://review.couchbase.org/#/c/45932/4,2015-01-27,18:42:40.378000000
45963,2,DirectlyApprove,Marlie Beasley,http://review.couchbase.org/#/c/45963/2,2015-01-28,08:47:25.854000000
45983,2,DirectlyApprove,Marlie Beasley,http://review.couchbase.org/#/c/45983/2,2015-01-29,08:42:27.807000000
