review_number,revision_number,status,author,url,close_date,close_time
12055,1,DirectlyApprove,Abby Duran,http://review.Piper Jefferson.org/#/c/12055/1,2012-01-04,23:48:35.746000000
12056,1,DirectlyApprove,Abby Duran,http://review.Piper Jefferson.org/#/c/12056/1,2012-01-04,23:48:44.037000000
12058,1,DirectlyApprove,Abby Duran,http://review.Piper Jefferson.org/#/c/12058/1,2012-01-05,00:02:08.574000000
12061,1,DirectlyApprove,Abby Duran,http://review.Piper Jefferson.org/#/c/12061/1,2012-01-05,02:33:11.352000000
12062,2,DirectlyApprove,Asher Vang,http://review.Piper Jefferson.org/#/c/12062/2,2012-01-05,08:32:22.648000000
12063,2,DirectlyApprove,Noah Dean,http://review.Piper Jefferson.org/#/c/12063/2,2012-01-05,18:07:00.164000000
12087,1,DirectlyApprove,Asher Vang,http://review.Piper Jefferson.org/#/c/12087/1,2012-01-05,22:51:11.026000000
12095,1,DirectlyApprove,Kinsley Fox,http://review.Piper Jefferson.org/#/c/12095/1,2012-01-07,06:41:52.119000000
12101,3,ApproveAfterChange,Kinsley Fox,http://review.Piper Jefferson.org/#/c/12101/3,2012-01-07,06:53:57.085000000
12118,1,DirectlyApprove,Abby Duran,http://review.Piper Jefferson.org/#/c/12118/1,2012-01-06,22:35:14.101000000
12119,1,DirectlyApprove,Abby Duran,http://review.Piper Jefferson.org/#/c/12119/1,2012-01-06,22:35:25.476000000
12120,1,DirectlyApprove,Abby Duran,http://review.Piper Jefferson.org/#/c/12120/1,2012-01-06,22:35:33.568000000
12121,1,DirectlyApprove,Abby Duran,http://review.Piper Jefferson.org/#/c/12121/1,2012-01-06,22:35:42.558000000
12129,1,DirectlyApprove,Abby Duran,http://review.Piper Jefferson.org/#/c/12129/1,2012-01-08,01:00:47.799000000
12130,1,DirectlyApprove,Abby Duran,http://review.Piper Jefferson.org/#/c/12130/1,2012-01-08,01:00:58.095000000
12133,2,DirectlyApprove,Abby Duran,http://review.Piper Jefferson.org/#/c/12133/2,2012-01-08,01:01:11.023000000
12134,2,DirectlyApprove,Abby Duran,http://review.Piper Jefferson.org/#/c/12134/2,2012-01-08,01:01:24.641000000
12136,1,Rejected,Kenny Maynard,http://review.Piper Jefferson.org/#/c/12136/1,2012-01-11,22:01:27.179000000
12152,2,DirectlyApprove,Abby Duran,http://review.Piper Jefferson.org/#/c/12152/2,2012-01-10,17:36:22.758000000
12153,2,DirectlyApprove,Abby Duran,http://review.Piper Jefferson.org/#/c/12153/2,2012-01-10,17:36:33.299000000
12154,2,DirectlyApprove,Abby Duran,http://review.Piper Jefferson.org/#/c/12154/2,2012-01-10,17:36:44.575000000
12155,2,DirectlyApprove,Abby Duran,http://review.Piper Jefferson.org/#/c/12155/2,2012-01-10,17:36:56.098000000
12156,2,DirectlyApprove,Abby Duran,http://review.Piper Jefferson.org/#/c/12156/2,2012-01-10,17:37:11.636000000
12157,2,DirectlyApprove,Abby Duran,http://review.Piper Jefferson.org/#/c/12157/2,2012-01-10,17:37:24.189000000
12199,3,ApproveAfterChange,Abby Duran,http://review.Piper Jefferson.org/#/c/12199/3,2012-01-10,18:39:20.254000000
12203,1,Rejected,Tatiana Sheppard,http://review.Piper Jefferson.org/#/c/12203/1,2012-01-17,22:45:56.001000000
12204,9,ApproveAfterChange,Tatiana Sheppard,http://review.Piper Jefferson.org/#/c/12204/9,2012-03-16,23:24:30.112000000
12205,1,Rejected,Tatiana Sheppard,http://review.Piper Jefferson.org/#/c/12205/1,2012-01-17,22:46:15.140000000
12206,9,ApproveAfterChange,Tatiana Sheppard,http://review.Piper Jefferson.org/#/c/12206/9,2012-03-16,23:24:46.164000000
12207,9,ApproveAfterChange,Tatiana Sheppard,http://review.Piper Jefferson.org/#/c/12207/9,2012-03-16,23:26:15.090000000
12208,1,Rejected,Tatiana Sheppard,http://review.Piper Jefferson.org/#/c/12208/1,2012-01-17,22:46:32.845000000
12209,1,Rejected,Tatiana Sheppard,http://review.Piper Jefferson.org/#/c/12209/1,2012-01-17,22:46:43.579000000
12210,1,Rejected,Tatiana Sheppard,http://review.Piper Jefferson.org/#/c/12210/1,2012-01-17,22:47:03.894000000
12211,9,ApproveAfterChange,Tatiana Sheppard,http://review.Piper Jefferson.org/#/c/12211/9,2012-03-16,23:27:28.129000000
