review_number,revision_number,status,author,url,close_date,close_time
4211,6,ApproveAfterChange,Andreas Short,http://review.couchbase.org/#/c/4211/6,2011-01-10,19:00:46.569000000
4212,6,ApproveAfterChange,Andreas Short,http://review.couchbase.org/#/c/4212/6,2011-01-10,18:57:26.473000000
4231,1,DirectlyApprove,Noah Dean,http://review.couchbase.org/#/c/4231/1,2011-01-11,23:20:41.582000000
4232,1,DirectlyApprove,Noah Dean,http://review.couchbase.org/#/c/4232/1,2011-01-11,23:21:11.106000000
4248,1,DirectlyApprove,Andreas Short,http://review.couchbase.org/#/c/4248/1,2011-01-12,03:55:00.387000000
4612,3,ApproveAfterChange,Andreas Short,http://review.couchbase.org/#/c/4612/3,2011-03-02,17:00:45.398000000
4752,3,ApproveAfterChange,Arielle Le,http://review.couchbase.org/#/c/4752/3,2011-03-07,07:42:00.681000000
5201,2,DirectlyApprove,Andreas Short,http://review.couchbase.org/#/c/5201/2,2011-04-19,08:00:04.671000000
5202,2,DirectlyApprove,Andreas Short,http://review.couchbase.org/#/c/5202/2,2011-04-19,08:00:31.110000000
5203,2,DirectlyApprove,Andreas Short,http://review.couchbase.org/#/c/5203/2,2011-04-19,08:01:12.169000000
5204,2,DirectlyApprove,Andreas Short,http://review.couchbase.org/#/c/5204/2,2011-04-19,08:01:29.205000000
5205,2,DirectlyApprove,Andreas Short,http://review.couchbase.org/#/c/5205/2,2011-04-19,08:01:51.076000000
5206,2,DirectlyApprove,Andreas Short,http://review.couchbase.org/#/c/5206/2,2011-04-22,01:34:12.645000000
5207,2,DirectlyApprove,Andreas Short,http://review.couchbase.org/#/c/5207/2,2011-04-22,01:58:06.919000000
5502,1,DirectlyApprove,Andreas Short,http://review.couchbase.org/#/c/5502/1,2011-04-22,23:29:10.081000000
6074,1,DirectlyApprove,Andreas Short,http://review.couchbase.org/#/c/6074/1,2011-05-10,20:14:21.457000000
6091,1,DirectlyApprove,Lauryn Burns,http://review.couchbase.org/#/c/6091/1,2011-05-11,18:26:10.527000000
6151,1,DirectlyApprove,Noah Dean,http://review.couchbase.org/#/c/6151/1,2011-05-11,20:03:57.711000000
